,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
45,integ,I_11s1h,II_r2r,40,III_dtr,340596.500,0.468,365859.200,0.340,"{'max_depth': [12], 'max_features': [40], 'max_leaf_nodes': [8]}"
46,integ,I_12s3l,II_ps,32,III_dtr,362195.800,0.399,366125.600,0.339,"{'max_depth': [4], 'max_features': [10], 'max_leaf_nodes': [14]}"
47,integ,I_13s1h,II_sp,24,III_la,357268.200,0.415,366295.500,0.338,{'alpha': [199.0]}
48,integ,I_01s1h,II_r2r,10,III_mlr,395006.800,0.285,368807.300,0.329,{}
49,integ,I_11s3g,II_r2r,50,III_dtr,374365.500,0.358,370565.900,0.323,"{'max_depth': [4], 'max_features': [10], 'max_leaf_nodes': [10]}"
50,integ,I_12s1h,II_r2r,48,III_dtr,347544.100,0.446,371817.400,0.318,"{'max_depth': [2], 'max_features': [20], 'max_leaf_nodes': [4]}"
51,integ,I_01s3g,II_sp,26,III_la,377080.100,0.348,373770.500,0.311,{'alpha': [199.0]}
52,integ,I_01s3l,II_r2r,80,III_dtr,375428.100,0.354,374421.000,0.309,"{'max_depth': [2], 'max_features': [25], 'max_leaf_nodes': [4]}"
53,integ,I_02s3g,II_sp,48,III_la,367639.000,0.381,376860.400,0.300,{'alpha': [199.0]}
54,integ,I_11s3h,II_ps,76,III_dtr,383847.900,0.325,377646.200,0.297,"{'max_depth': [2], 'max_features': [40], 'max_leaf_nodes': [4]}"
55,integ,I_02s3l,II_sp,6,III_la,421408.400,0.186,378934.400,0.292,{'alpha': [199.0]}
56,integ,I_13s1g,II_ps,30,III_dtr,346647.600,0.449,379605.100,0.289,"{'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [12]}"
57,integ,I_10cd,II_sp,4,III_la,421245.100,0.187,384326.900,0.272,{'alpha': [199.0]}
58,integ,I_12s1g,II_sp,96,III_dtr,357288.000,0.415,386322.700,0.264,"{'max_depth': [4], 'max_features': [30], 'max_leaf_nodes': [8]}"
59,integ,I_11s3l,II_r2r,78,III_dtr,420560.100,0.189,386946.600,0.262,"{'max_depth': [2], 'max_features': [40], 'max_leaf_nodes': [4]}"
